,name,entropy,category,label,SHA256
0,.text,6.440347104,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
1,.itext,6.219012552,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
2,.data,6.045116499,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
3,.bss,0,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
4,.idata,5.215642582,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
5,.didata,3.723375841,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
6,.edata,1.043721203,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
7,.tls,0,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
8,.rdata,1.375124405,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
9,.reloc,6.729569282,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
10,.rsrc,4.284678347,Ransomware,M,4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a
11,.text,6.632676377,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
12,.rdata,5.265208621,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
13,.data,1.117115373,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
14,.mysec,0,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
15,.mysec3,0,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
16,.mysec2,0,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
17,.rcrs,5.995589471,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
18,.rsrc,6.393894034,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
19,.reloc,1.743423819,Ransomware,M,bfb9db791b8250ffa8ebc48295c5dbbca757a5ed3bbb01de12a871b5cd9afd5a
20,\x01\x1e!mmUPp,7.999120832,Ransomware,M,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7
21,.text,5.390563949,Ransomware,M,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7
22,.rsrc,3.580992838,Ransomware,M,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7
23,.reloc,0.098004176,Ransomware,M,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7
24,,0.138729518,Ransomware,M,3ae96f73d805e1d3995253db4d910300d8442ea603737a1428b613061e7f61e7
25,\x7fPG\x01!yh\x0e,7.999965886,Ransomware,M,3b4497c7f8c89bf22c984854ac7603573a53b95ed147e80c0f19e549e2b65693
26,.text,4.338026259,Ransomware,M,3b4497c7f8c89bf22c984854ac7603573a53b95ed147e80c0f19e549e2b65693
27,.rsrc,4.173269501,Ransomware,M,3b4497c7f8c89bf22c984854ac7603573a53b95ed147e80c0f19e549e2b65693
28,.reloc,0.077633162,Ransomware,M,3b4497c7f8c89bf22c984854ac7603573a53b95ed147e80c0f19e549e2b65693
29,,0.122275881,Ransomware,M,3b4497c7f8c89bf22c984854ac7603573a53b95ed147e80c0f19e549e2b65693
30,.text,5.9361264,Ransomware,M,8fec485e47fd1231aeb1a4107a4918f92c2b15fa66e9171be39a765d26a12acb
31,.rdata,5.300410604,Ransomware,M,8fec485e47fd1231aeb1a4107a4918f92c2b15fa66e9171be39a765d26a12acb
