PercentageOfFileAPICalls,PercentageOfUniqueFiles,PercentageOfUniqueFileLocations,PercentageOfUniqueFileExtensions,PercentageOfPotentialCustomExtensions,PercentageOfRansomwareExtensions,PercentageOfFileExtensionsDocuments,PercentageOfFileExtensionsImages,PercentageOfFileExtensionsVideos,PercentageOfFileExtensionsAudio,PercentageOfFileExtensionsDatabase,PercentageOfFileExtensionsArchives,PercentageOfFileExtensionsExecutables,PercentageOfFileExtensionsSystem,PercentageOfFileExtensionsBackup,PercentageOfFileExtensionsEmail,PercentageOfFileExtensionsVMImages,PercentageOfFileExtensionsGames,PercentageOfFileExtensionsDevelopment,APICallsPerSecond,label
60,4,4,1,2,14,2,0,0,0,0,0,96,0,0,0,0,0,0,72,1
12,25,25,25,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,75,1
5,25,25,12,44,6,4,0,0,0,4,0,43,6,0,0,0,0,0,65,1
7,50,50,50,33,10,0,0,0,0,0,0,67,0,0,0,0,0,0,23,1
7,50,50,25,17,7,0,0,0,0,0,0,50,33,0,0,0,0,0,44,1
2,75,75,50,25,11,0,0,0,0,0,0,75,0,0,0,0,0,0,61,1
2,75,75,50,25,11,0,0,0,0,0,0,75,0,0,0,0,0,0,55,1
9,75,75,75,50,7,0,0,0,0,0,0,50,0,0,0,0,0,0,457,1
9,75,75,75,50,7,0,0,0,0,0,0,50,0,0,0,0,0,0,56,1
8,56,56,44,22,11,0,0,0,0,0,0,78,0,0,0,0,0,0,856,1
8,56,56,44,22,11,0,0,0,0,0,0,78,0,0,0,0,0,0,573,1
8,56,56,44,22,11,0,0,0,0,0,0,78,0,0,0,0,0,0,542,1
8,56,56,44,22,8,0,0,0,0,0,0,78,0,0,0,0,0,0,53,1
11,34,34,14,42,4,2,0,0,0,2,0,32,12,9,0,0,1,0,99,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1
1,71,71,71,71,4,0,0,0,0,0,0,29,0,0,0,0,0,0,234,1
16,39,39,28,39,6,17,0,0,0,0,0,28,17,0,0,0,0,0,93,1
7,36,36,14,14,1,0,0,1,0,3,25,7,9,36,0,0,5,0,320,1
7,36,36,14,14,1,0,0,1,0,3,25,7,9,36,0,0,5,0,428,1
4,40,40,4,85,1,0,0,0,0,0,0,11,3,0,0,0,0,0,94,1
4,40,40,4,85,1,0,0,0,0,0,0,11,3,0,0,0,0,0,94,1
