r,rw,rx,rwc,rwx,rwxc,label
69,71,26,28,5,0,1
120,102,50,29,6,0,1
120,101,50,29,6,0,1
83,89,33,27,5,0,1
69,75,26,28,5,0,1
66,65,25,23,5,0,1
83,89,33,27,5,0,1
105,101,44,29,6,0,1
94,86,37,26,7,1,1
73,68,28,22,6,0,1
66,70,25,28,5,0,1
162,158,67,35,7,1,1
128,133,51,40,6,0,1
66,70,25,28,5,0,1
127,128,52,33,6,0,1
108,114,42,35,6,0,1
69,75,26,28,5,0,1
73,68,28,22,6,0,1
95,90,37,34,6,0,1
160,157,69,33,7,1,1
73,68,28,22,6,0,1
66,70,25,28,5,0,1
12,10,4,5,3,0,1
127,135,52,32,6,0,1
105,101,44,29,6,0,1
73,68,28,22,6,0,1
66,65,25,23,5,0,1
69,76,26,28,5,0,1
44,59,19,27,6,0,1
173,183,59,66,79,11,1
123,193,40,87,90,19,1
123,206,41,71,98,19,1
93,77,28,28,64,0,1
69,72,26,28,5,0,1
483,370,158,102,66,0,1
120,106,50,29,6,0,1
110,116,44,32,6,0,1
69,73,26,28,5,0,1
83,89,33,27,5,0,1
66,70,25,28,5,0,1
66,70,25,28,5,0,1
66,70,25,28,5,0,1
66,70,25,28,5,0,1
55,57,15,25,42,0,1
55,57,15,25,42,0,1
33,45,10,17,52,0,1
90,75,28,29,58,0,1
55,57,15,25,42,0,1
166,102,54,35,63,0,1
55,57,15,25,42,0,1
131,92,44,33,64,0,1
33,45,10,17,52,0,1
85,71,26,27,60,0,1
55,57,15,25,42,0,1
84,72,26,27,58,0,1
55,57,15,25,42,0,1
55,57,15,25,42,0,1
54,52,15,20,42,0,1
99,85,39,29,6,0,1
84,102,34,30,6,0,1
136,203,55,28,6,0,1
55,58,15,25,42,0,1
85,74,26,27,61,0,1
55,58,15,25,42,0,1
85,74,26,27,60,0,1
136,211,55,28,6,0,1
55,58,15,25,42,0,1
85,73,26,27,61,0,1
136,207,55,28,6,0,1
55,58,15,25,42,0,1
85,73,26,27,60,0,1
97,88,40,27,6,0,1
150,161,65,32,11,0,1
93,85,38,27,6,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
151,158,65,32,11,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
97,88,40,27,6,0,1
69,73,26,28,5,0,1
69,73,26,28,5,0,1
165,134,73,29,7,0,1
67,63,29,23,6,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
165,133,73,29,7,0,1
55,58,15,25,42,0,1
85,78,26,27,61,0,1
85,75,26,27,61,0,1
140,4363,56,31,8,0,1
69,71,26,28,5,0,1
85,82,32,25,5,0,1
69,71,26,28,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
165,133,73,29,7,0,1
69,71,26,28,5,0,1
67,63,29,23,6,0,1
69,72,26,28,5,0,1
165,134,73,29,7,0,1
165,134,73,29,7,0,1
165,133,73,29,7,0,1
98,84,36,23,7,0,1
165,133,73,29,7,0,1
69,73,26,28,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
165,134,73,29,7,0,1
105,101,44,29,6,0,1
165,134,73,29,7,0,1
69,72,26,28,5,0,1
165,134,73,29,7,0,1
165,131,73,29,7,0,1
69,74,26,28,5,0,1
165,133,73,29,7,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
165,134,73,29,7,0,1
165,134,73,29,7,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
165,134,73,29,7,0,1
67,63,29,23,6,0,1
105,101,44,29,6,0,1
165,134,73,29,7,0,1
165,133,73,29,7,0,1
67,63,29,23,6,0,1
69,73,26,28,5,0,1
67,63,29,23,6,0,1
67,63,29,23,6,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
67,63,29,23,6,0,1
165,132,73,29,7,0,1
165,132,73,29,7,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
83,88,33,27,5,0,1
105,101,44,29,6,0,1
67,63,29,23,6,0,1
165,132,73,29,7,0,1
67,63,29,23,6,0,1
165,133,73,29,7,0,1
69,73,26,28,5,0,1
67,63,29,23,6,0,1
165,134,73,29,7,0,1
67,63,29,23,6,0,1
105,101,44,29,6,0,1
165,133,73,29,7,0,1
165,135,73,29,7,0,1
67,63,29,23,6,0,1
67,63,29,23,6,0,1
165,134,73,29,7,0,1
165,133,73,29,7,0,1
119,87,43,25,7,0,1
83,88,33,27,5,0,1
66,68,25,26,5,0,1
54,55,16,20,55,0,1
62,59,19,21,49,1,1
62,58,19,21,49,1,1
67,61,26,21,5,0,1
68,64,26,21,5,0,1
68,64,26,21,5,0,1
173,183,59,66,83,11,1
123,193,40,87,93,19,1
68,61,26,21,5,0,1
98,83,37,36,0,0,1
77,66,28,18,0,0,1
133,145,49,49,1,0,1
74,63,22,22,62,0,1
85,74,26,27,61,0,1
75,70,29,25,6,1,1
69,71,26,28,5,0,1
45,59,18,22,5,0,1
70,67,21,26,58,0,1
69,74,26,28,5,0,1
71,67,27,24,6,0,1
69,71,26,28,5,0,1
91,77,37,24,6,0,1
71,67,27,24,6,0,1
69,71,26,28,5,0,1
69,71,26,28,5,0,1
66,73,25,28,5,0,1
45,59,18,22,5,0,1
86,76,33,27,5,0,1
71,67,27,24,6,0,1
73,69,28,24,6,1,1
45,59,18,22,5,0,1
70,60,21,25,58,0,1
91,77,37,24,6,0,1
91,80,37,24,6,0,1
91,77,37,24,6,0,1
69,71,26,28,5,0,1
73,69,28,24,6,1,1
45,59,18,22,5,0,1
45,59,18,22,5,0,1
45,59,18,22,5,0,1
73,69,28,24,6,1,1
73,69,28,24,6,1,1
91,77,37,24,6,0,1
69,73,26,28,5,0,1
91,80,37,24,6,0,1
84,75,32,26,5,0,1
45,59,18,22,5,0,1
91,80,37,24,6,0,1
69,71,26,28,5,0,1
75,70,29,25,6,1,1
73,69,28,24,6,1,1
70,67,21,26,58,0,1
45,59,18,22,5,0,1
45,59,18,22,5,0,1
71,67,27,24,6,0,1
71,67,27,24,6,0,1
91,80,37,24,6,0,1
71,67,27,24,6,0,1
75,70,29,25,6,1,1
45,59,18,22,5,0,1
126,136,51,33,6,0,1
69,71,26,28,5,0,1
69,74,26,28,5,0,1
66,73,25,28,5,0,1
45,59,18,22,5,0,1
70,67,21,26,58,0,1
86,76,33,27,5,0,1
45,59,18,22,5,0,1
69,71,26,28,5,0,1
91,77,37,24,6,0,1
91,77,37,24,6,0,1
69,75,26,28,5,0,1
69,71,26,28,5,0,1
91,77,37,24,6,0,1
45,59,18,22,5,0,1
69,73,26,28,5,0,1
45,59,18,22,5,0,1
73,69,28,24,6,1,1
69,71,26,28,5,0,1
84,75,32,26,5,0,1
73,69,28,24,6,1,1
75,70,29,25,6,1,1
69,71,26,28,5,0,1
70,60,21,25,58,0,1
45,59,18,22,5,0,1
70,67,21,26,58,0,1
91,80,37,24,6,0,1
45,59,18,22,5,0,1
69,71,26,28,5,0,1
75,70,29,25,6,1,1
73,69,28,24,6,1,1
70,67,21,26,58,0,1
56,59,15,25,42,0,1
65,58,19,21,55,0,1
86,74,26,27,61,0,1
56,59,15,25,42,0,1
65,58,19,21,55,0,1
86,74,26,27,60,0,1
56,59,15,25,42,0,1
65,58,19,21,55,0,1
86,74,26,27,61,0,1
44,56,18,26,7,0,1
120,101,50,29,6,0,1
83,88,33,27,5,0,1
120,101,50,29,6,0,1
83,88,33,27,5,0,1
120,101,50,29,6,0,1
83,89,33,27,5,0,1
119,128,47,40,7,0,1
92,102,36,34,7,0,1
193,183,85,51,6,0,1
193,183,85,51,6,0,1
232,207,82,61,61,0,1
232,210,82,61,61,0,1
232,207,82,61,64,0,1
163,160,69,39,6,1,1
69,64,26,21,5,0,1
83,88,33,27,5,0,1
83,88,33,27,5,0,1
83,88,33,27,5,0,1
143,2241,59,37,8,0,1
83,89,33,27,5,0,1
69,74,26,28,5,0,1
83,89,33,27,5,0,1
83,88,33,27,5,0,1
83,89,33,27,5,0,1
83,88,33,27,5,0,1
67,61,26,21,5,0,1
69,65,26,23,5,0,1
54,52,15,20,42,0,1
99,86,39,29,5,0,1
54,52,15,20,42,0,1
99,86,39,29,5,0,1
54,52,15,20,42,0,1
99,86,39,29,5,0,1
62,58,18,21,49,0,1
122,96,38,33,67,0,1
51,56,14,24,42,0,1
51,56,14,25,42,0,1
55,57,15,25,42,0,1
51,56,14,24,42,0,1
51,56,14,25,42,0,1
72,98,21,26,52,0,1
55,57,15,25,42,0,1
58,55,17,21,55,0,1
122,96,38,33,67,0,1
55,57,15,25,42,0,1
55,57,15,25,42,0,1
62,56,20,22,53,0,1
122,96,38,33,67,0,1
69,60,22,22,52,0,1
55,57,15,25,42,0,1
483,413,158,102,70,0,1
175,141,71,43,6,0,1
139,2009,59,33,7,0,1
139,1990,59,32,7,0,1
77,74,30,30,7,0,1
11,10,3,4,4,0,1
102,83,42,27,7,0,1
13,13,4,5,4,0,1
92,104,28,34,55,0,1
105,102,44,29,6,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
98,80,37,36,0,0,1
64,67,28,24,5,0,1
105,102,44,29,6,0,1
69,69,30,25,5,0,1
64,68,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
133,159,49,49,1,0,1
105,102,44,29,6,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
105,102,44,29,6,0,1
105,102,44,29,6,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
64,68,28,24,5,0,1
64,64,28,24,5,0,1
105,102,44,29,6,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
64,66,28,24,5,0,1
105,102,44,29,6,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
64,68,28,24,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
106,101,44,29,6,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
105,105,44,29,6,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,67,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
64,66,28,24,5,0,1
64,66,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
64,68,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
64,67,28,24,5,0,1
64,66,28,24,5,0,1
64,66,28,24,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
64,66,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,66,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
105,102,44,29,6,0,1
64,66,28,24,5,0,1
64,68,28,24,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
69,69,30,25,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
146,205,61,31,6,0,1
73,106,28,23,7,1,1
71,77,27,23,5,0,1
236,210,82,60,61,0,1
104,88,42,27,6,0,1
103,90,42,30,8,0,1
62,58,18,21,50,0,1
69,70,30,26,5,0,1
35,46,16,12,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,77,26,28,5,0,1
7,28,1,1,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
105,101,44,29,6,0,1
105,101,44,29,6,0,1
69,74,26,28,5,0,1
9,27,1,1,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
69,72,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
69,76,26,28,5,0,1
69,76,26,28,5,0,1
69,72,26,28,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
69,72,26,28,5,0,1
69,70,30,26,5,0,1
83,88,33,27,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
105,101,44,29,6,0,1
64,69,28,24,5,0,1
105,101,44,29,6,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
64,64,28,24,5,0,1
70,73,26,28,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,77,26,28,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,72,26,28,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,77,26,28,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
64,64,28,24,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
64,64,28,24,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
70,70,30,27,5,0,1
105,102,44,29,6,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
83,89,33,27,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,72,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
69,70,30,26,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
83,88,33,27,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
64,64,28,24,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
70,76,26,28,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
70,76,26,28,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,73,26,28,5,0,1
69,73,26,28,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
69,73,26,28,5,0,1
69,74,26,28,5,0,1
64,64,28,24,5,0,1
69,76,26,28,5,0,1
64,69,28,24,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
70,70,30,27,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
70,76,26,28,5,0,1
83,88,33,27,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
69,77,26,28,5,0,1
64,67,28,24,5,0,1
64,69,28,24,5,0,1
64,66,28,24,5,0,1
64,64,28,24,5,0,1
69,72,26,28,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
83,88,33,27,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
64,66,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,69,28,24,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
83,89,33,27,5,0,1
69,70,30,26,5,0,1
64,66,28,24,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,73,26,28,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
105,101,44,29,6,0,1
69,74,26,28,5,0,1
69,77,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
64,69,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,69,28,24,5,0,1
69,76,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
70,70,30,27,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
64,69,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
69,77,26,28,5,0,1
83,88,33,27,5,0,1
69,74,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
64,64,28,24,5,0,1
64,64,28,24,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
69,75,26,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
83,88,33,27,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,73,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
64,64,28,24,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
64,64,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
64,64,28,24,5,0,1
69,70,30,26,5,0,1
69,76,26,28,5,0,1
69,74,26,28,5,0,1
69,76,26,28,5,0,1
69,73,26,28,5,0,1
64,66,28,24,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
9,29,1,1,5,0,1
106,104,44,29,6,0,1
69,73,26,28,5,0,1
64,69,28,24,5,0,1
69,76,26,28,5,0,1
69,73,26,28,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
69,74,26,28,5,0,1
69,74,26,28,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
64,67,28,24,5,0,1
69,70,30,26,5,0,1
83,89,33,27,5,0,1
69,74,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
64,67,28,24,5,0,1
64,69,28,24,5,0,1
69,74,26,28,5,0,1
69,76,26,28,5,0,1
64,67,28,24,5,0,1
64,64,28,24,5,0,1
69,76,26,28,5,0,1
105,101,44,29,6,0,1
69,73,26,28,5,0,1
105,101,44,29,6,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
64,66,28,24,5,0,1
69,73,26,28,5,0,1
64,67,28,24,5,0,1
69,76,26,28,5,0,1
69,70,30,26,5,0,1
69,70,30,26,5,0,1
