,category,sha256,label,F1_totalAPICalls,F2_percentageOfFileAPICalls,F3_1_fileAPIPercentageNtReadFile,F3_2_fileAPIPercentageNtWriteFile,F3_3_fileAPIPercentageSetFilePointer,F3_4_fileAPIPercentageSetFilePointerEx,F3_5_fileAPIPercentageNtCreateFile,F3_6_fileAPIPercentageNtDeviceIoControlFile,F3_7_fileAPIPercentageGetFileAttributesExW,F3_8_fileAPIPercentageNtQueryDirectoryFile,F3_9_fileAPIPercentageFindFirstFileExW,F3_10_fileAPIPercentageNtQueryInformationFile,F3_11_fileAPIPercentageGetFileSizeEx,F3_12_fileAPIPercentageGetFileType,F3_13_fileAPIPercentageNtOpenFile,F3_14_fileAPIPercentageSetEndOfFile,F3_15_fileAPIPercentageMoveFileWithProgressW,F3_16_fileAPIPercentageSetFileAttributesW,F3_17_fileAPIPercentageDeleteFileW,F4_percentageOfUniqueFilesTouched,F5_percentageOfUniqueFileExtensionsTouched,F6_percentageOfUniqueFileLocationsTouched,F7_1_percentgeOfFileExtensionPy,F7_2_percentgeOfFileExtensionPng,F7_3_percentgeOfFileExtensionTxt,F7_4_percentgeOfFileExtensionTlc,F7_5_percentgeOfFileExtensionMsg,F7_6_percentgeOfFileExtensionExe,F7_7_percentageOfFileExtensionDll,F8_1_percentageOfFilesInDocuments,F8_2_percentageOfFilesInPictures,F8_3_percentageOfFilesInMusic,F8_4_percentageOfFilesInVideos,F8_5_percentageOfFilesInDesktop,F8_6_percentageOfFilesInDownloads,F9_APICallsPerSecond,F10_percentageOfPotentialCustomExtensionsUsed,F11_1_percentageOfFileExtensionsDocuments,F11_2_percentageOfFileExtensionsImages,F11_3_percentageOfFileExtensionsVideos,F11_4_percentageOfFileExtensionsAudio,F11_5_percentageOfFileExtensionsDatabase,F11_6_percentageOfFileExtensionsArchives,F11_7_percentageOfFileExtensionsExecutables,F11_8_percentageOfFileExtensionsSystem,F11_9_percentageOfFileExtensionsBackup,F11_10_percentageOfFileExtensionsEmail,F11_11_percentageOfFileExtensionsVMImages,F11_12_percentageOfFileExtensionsGames,F11_13_percentageOfFileExtensionsDevelopment
0,1,ReportSHA256B_education_Typing_TIPP10 Portable.exe.json,FALSE,11073,33,35,20,8,0,7,0,0,3,2,0,0,0,1,0,0,0,0,8,2,8,0,27,2,0,0,16,10,0,0,0,0,0,0,1111,2,12,32,0,1,0,0,26,2,24,0,0,0,1
1,1,ReportSHA256B_education_Typing_TypeFaster Portable.exe.json,FALSE,13518,47,27,18,8,0,9,0,0,2,2,0,0,0,1,0,0,0,0,9,1,9,0,4,55,0,0,4,13,0,0,0,0,0,0,1278,1,58,9,0,0,0,0,17,2,12,0,0,0,1
2,1,ReportSHA256B_games_Action Games_Xonotic Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,ReportSHA256B_games_Action_Games_AssaultCube_Portable.exe.json,FALSE,57989,80,27,20,10,0,4,0,0,0,0,0,0,0,1,0,0,0,0,7,0,7,0,4,2,0,0,1,2,0,0,0,0,0,0,1659,13,3,36,0,10,0,0,4,10,24,0,0,1,0
4,1,ReportSHA256B_games_Adventure Games_ADR Portable (1).exe.json,FALSE,42106,61,45,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,39,0,0,0,0,0,0,1241,1,1,1,0,0,0,12,41,0,39,0,0,5,0
5,1,ReportSHA256B_games_Adventure Games_ADR Portable.exe.json,FALSE,44878,61,45,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,38,0,0,0,0,0,0,1160,3,1,1,0,0,0,12,39,0,39,0,0,4,0
6,1,ReportSHA256B_games_Adventure Games_BYOND Portable (1).exe.json,FALSE,14902,51,40,39,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3,1,3,0,1,1,0,0,10,35,0,0,0,0,0,0,525,4,3,5,0,0,0,4,50,1,33,0,0,0,0
7,1,ReportSHA256B_games_Adventure Games_BYOND Portable.exe.json,FALSE,15206,51,40,39,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,3,1,3,0,1,1,0,0,9,35,0,0,0,0,0,0,438,4,3,5,0,0,0,4,50,1,33,0,0,0,0
8,1,ReportSHA256B_games_Adventure Games_Mana Plus Portable.exe.json,FALSE,32422,69,36,33,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,5,2,0,0,5,17,0,0,0,0,0,0,1382,5,20,7,0,9,0,0,22,8,28,0,0,0,0
9,1,ReportSHA256B_games_Adventure Games_The Legend of Edgar Portable.exe.json,FALSE,56582,57,50,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1495,2,0,1,0,0,0,43,6,0,47,0,0,0,0
10,1,ReportSHA256B_games_Arcade Games_Armagetron Advanced Portable.exe.json,FALSE,12039,35,32,24,5,0,7,0,0,3,1,0,0,0,1,0,0,0,0,8,1,8,0,6,12,0,0,10,28,0,0,0,0,0,0,1015,2,14,13,0,1,0,0,38,8,22,0,0,1,0
11,1,ReportSHA256B_games_Arcade Games_Atomic Tanks Portable.exe.json,FALSE,14496,47,33,25,7,0,7,0,0,2,2,0,0,0,0,0,0,0,0,8,1,8,0,1,11,0,0,4,8,0,0,0,0,0,0,790,1,12,42,0,11,0,0,12,2,20,0,0,0,0
12,1,ReportSHA256B_games_Arcade Games_Beret Portable.exe.json,FALSE,24011,70,48,38,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,3,0,3,0,10,0,0,0,0,2,0,0,0,0,0,0,1101,0,0,10,0,39,0,0,3,4,44,0,0,0,0
13,1,ReportSHA256B_games_Arcade Games_Canabalt Portable.exe.json,FALSE,12623,42,44,39,1,0,3,0,0,2,2,0,0,0,0,0,0,0,0,3,1,3,0,2,0,0,0,49,5,0,0,0,0,0,0,673,0,1,7,0,0,0,0,54,1,37,0,0,0,0
14,1,ReportSHA256B_games_Arcade Games_Chromium B.S.U. Portable.exe.json,FALSE,9796,36,30,19,7,0,7,0,0,3,5,0,0,0,1,0,0,0,0,12,2,12,0,24,2,0,0,7,21,0,0,0,0,0,0,1138,3,3,37,0,7,0,0,29,3,19,0,0,0,0
